"Date","Currency","Currency Pair","Buying","Selling","Mid Rate"
"02 Jan 1996","US Dollar","USDGHS","1,434.0900","1,461.6400","1,447.8650"
"03 Jan 1996","US Dollar","USDGHS","1,437.2700","1,464.3600","1,450.8150"
"04 Jan 1996","US Dollar","USDGHS","1,438.6400","1,465.9100","1,452.2750"
"05 Jan 1996","US Dollar","USDGHS","1,442.2700","1,469.0900","1,455.6800"
"08 Jan 1996","US Dollar","USDGHS","1,440.9100","1,467.7300","1,454.3200"
"09 Jan 1996","US Dollar","USDGHS","1,443.8200","1,467.0000","1,455.4100"
"10 Jan 1996","US Dollar","USDGHS","1,444.7300","1,467.9100","1,456.3200"
"11 Jan 1996","US Dollar","USDGHS","1,448.3600","1,471.5500","1,459.9550"
"12 Jan 1996","US Dollar","USDGHS","1,450.0000","1,472.4500","1,461.2250"
"15 Jan 1996","US Dollar","USDGHS","1,453.1800","1,476.3600","1,464.7700"
"16 Jan 1996","US Dollar","USDGHS","1,455.0000","1,478.1800","1,466.5900"
"17 Jan 1996","US Dollar","USDGHS","1,455.9100","1,479.0900","1,467.5000"
"18 Jan 1996","US Dollar","USDGHS","1,461.3600","1,485.4500","1,473.4050"
"19 Jan 1996","US Dollar","USDGHS","1,463.1800","1,486.8200","1,475.0000"
"22 Jan 1996","US Dollar","USDGHS","1,464.0900","1,487.2700","1,475.6800"
"23 Jan 1996","US Dollar","USDGHS","1,464.0900","1,487.7300","1,475.9100"
"24 Jan 1996","US Dollar","USDGHS","1,467.7300","1,490.9100","1,479.3200"
"25 Jan 1996","US Dollar","USDGHS","1,470.0000","1,497.7300","1,483.8650"
"26 Jan 1996","US Dollar","USDGHS","1,473.6400","1,499.5500","1,486.5950"
"29 Jan 1996","US Dollar","USDGHS","1,475.9100","1,500.1800","1,488.0450"
"30 Jan 1996","US Dollar","USDGHS","1,479.0900","1,504.2700","1,491.6800"
"31 Jan 1996","US Dollar","USDGHS","1,485.9100","1,509.0900","1,497.5000"
"01 Feb 1996","US Dollar","USDGHS","1,486.8200","1,510.0000","1,498.4100"
"02 Feb 1996","US Dollar","USDGHS","1,487.7300","1,510.9100","1,499.3200"
"05 Feb 1996","US Dollar","USDGHS","1,487.7300","1,510.9100","1,499.3200"
"06 Feb 1996","US Dollar","USDGHS","1,491.8200","1,515.0000","1,503.4100"
"07 Feb 1996","US Dollar","USDGHS","1,497.7300","1,520.0000","1,508.8650"
"08 Feb 1996","US Dollar","USDGHS","1,498.1800","1,520.4500","1,509.3150"
"09 Feb 1996","US Dollar","USDGHS","1,502.2700","1,525.0000","1,513.6350"
"12 Feb 1996","US Dollar","USDGHS","1,502.2700","1,525.9100","1,514.0900"
"13 Feb 1996","US Dollar","USDGHS","1,504.2700","1,526.9100","1,515.5900"
"14 Feb 1996","US Dollar","USDGHS","1,505.9100","1,529.2700","1,517.5900"
"15 Feb 1996","US Dollar","USDGHS","1,506.8200","1,531.0900","1,518.9550"
"16 Feb 1996","US Dollar","USDGHS","1,507.2700","1,532.9100","1,520.0900"
"19 Feb 1996","US Dollar","USDGHS","1,508.6400","1,533.8200","1,521.2300"
"20 Feb 1996","US Dollar","USDGHS","1,513.9100","1,537.2700","1,525.5900"
