"Date","Price","Open","High","Low","Vol.","Change %"
"2018-04-02","532.500","532.500","532.500","531.440","","0.00%"
"2018-04-03","539.905","541.435","541.435","539.375","","1.39%"
"2018-04-04","531.450","531.500","532.500","530.390","","-1.57%"
"2018-04-05","541.700","540.090","543.340","539.990","","1.93%"
"2018-04-06","554.480","539.600","554.710","538.440","","2.36%"
"2018-04-09","553.580","555.380","556.710","552.420","","-0.16%"
"2018-04-10","552.745","554.415","555.775","552.705","","-0.15%"
"2018-04-11","552.925","552.565","554.715","549.415","","0.03%"
"2018-04-12","553.760","552.090","555.780","551.830","","0.15%"
"2018-04-13","553.715","553.805","555.165","551.915","","-0.01%"
"2018-04-16","553.105","552.565","555.775","551.895","","-0.11%"
"2018-04-17","545.340","548.680","551.370","545.340","","-1.40%"
"2018-04-18","552.795","555.565","555.565","549.205","","1.37%"
"2018-04-19","553.340","552.250","553.870","549.660","","0.10%"
"2018-04-20","554.660","552.020","556.440","549.340","","0.24%"
"2018-04-23","556.600","552.720","556.600","549.460","","0.35%"
"2018-04-24","555.725","557.475","558.955","554.275","","-0.16%"
"2018-04-25","557.095","554.355","558.035","552.825","","0.25%"
"2018-04-26","558.880","555.310","559.200","551.790","","0.32%"
"2018-04-27","558.380","559.380","561.770","554.420","","-0.09%"
"2018-04-30","559.200","557.560","560.490","554.800","","0.15%"
"2018-05-01","561.460","556.940","562.390","556.940","","0.40%"
"2018-05-02","562.625","560.295","562.625","555.495","","0.21%"
"2018-05-03","561.345","563.905","563.905","558.315","","-0.23%"
"2018-05-04","567.135","565.555","568.815","564.185","","1.03%"
"2018-05-07","568.050","566.550","569.320","563.370","","0.16%"
"2018-05-08","567.215","569.185","571.395","567.215","","-0.15%"
"2018-05-09","569.750","563.820","569.750","562.700","","0.45%"
"2018-05-10","568.190","571.310","571.310","567.720","","-0.27%"
"2018-05-11","568.145","568.235","570.875","563.755","","-0.01%"
"2018-05-14","562.355","566.195","566.525","561.455","","-1.02%"
"2018-05-15","570.995","564.205","570.995","564.105","","1.54%"
"2018-05-16","569.770","572.280","576.850","569.770","","-0.21%"
"2018-05-17","572.590","571.510","573.560","567.260","","0.49%"
"2018-05-18","573.315","571.865","574.535","567.585","","0.13%"
"2018-05-21","572.665","569.325","576.185","569.325","","-0.11%"
"2018-05-22","573.000","572.330","574.360","571.460","","0.06%"
"2018-05-23","576.745","571.815","577.335","571.715","","0.65%"
"2018-05-24","575.765","576.835","576.835","575.275","","-0.17%"
"2018-05-25","579.900","575.830","581.230","575.830","","0.72%"
"2018-05-28","580.940","576.840","582.440","576.250","","0.18%"
"2018-05-29","586.795","583.085","589.125","580.115","","1.01%"
"2018-05-30","584.245","589.855","590.155","578.635","","-0.43%"
"2018-05-31","583.330","584.120","585.800","579.530","","-0.16%"
"2018-06-01","584.230","582.430","586.460","580.960","","0.15%"
"2018-06-04","583.290","584.110","586.590","580.920","","-0.16%"
"2018-06-05","582.505","584.075","586.695","582.285","","-0.13%"
"2018-06-06","581.940","583.070","584.540","581.650","","-0.10%"
"2018-06-07","581.310","582.570","585.170","579.670","","-0.11%"
"2018-06-08","582.085","580.535","584.535","580.145","","0.13%"
"2018-06-11","581.720","580.510","583.180","580.510","","-0.06%"
"2018-06-12","582.550","580.890","582.840","580.890","","0.14%"
"2018-06-13","581.020","584.080","585.600","579.690","","-0.26%"
"2018-06-14","586.275","575.765","586.275","574.845","","0.90%"
"2018-06-15","585.520","587.030","588.690","585.520","","-0.13%"
"2018-06-18","581.670","589.490","591.900","581.670","","-0.66%"
"2018-06-19","586.250","584.440","589.220","583.200","","0.79%"
"2018-06-20","586.300","586.200","588.410","583.890","","0.01%"
"2018-06-21","586.085","586.515","590.405","585.785","","-0.04%"
"2018-06-22","584.815","587.355","588.635","584.635","","-0.22%"
"2018-06-25","582.945","587.135","587.745","582.945","","-0.32%"
"2018-06-26","584.700","581.190","585.000","581.190","","0.30%"
"2018-06-27","586.750","582.650","587.390","579.980","","0.35%"
"2018-06-28","587.575","585.925","588.585","581.375","","0.14%"
