"Date","Price","Open","High","Low","Vol.","Change %"
"1999-02-01","580.415","579.840","580.415","579.840","","0.61%"
"1999-02-02","580.415","579.840","580.415","579.840","","0.00%"
"1999-02-03","577.940","573.940","577.940","573.940","","-0.43%"
"1999-02-04","577.940","573.940","577.940","573.940","","0.00%"
"1999-02-05","577.940","573.940","577.940","573.940","","0.00%"
"1999-02-08","575.750","575.500","575.750","575.500","","-0.38%"
"1999-02-09","575.750","575.500","575.750","575.500","","0.00%"
"1999-02-10","579.600","578.600","579.600","578.600","","0.67%"
"1999-02-11","579.725","577.470","579.725","577.470","","0.02%"
"1999-02-12","584.320","579.320","584.320","579.320","","0.79%"
"1999-02-15","581.855","581.280","581.855","581.280","","-0.42%"
"1999-02-16","586.280","585.200","586.280","585.200","","0.76%"
"1999-02-17","583.200","582.070","583.200","582.070","","-0.53%"
"1999-02-18","583.360","581.280","583.360","581.280","","0.03%"
"1999-02-19","586.750","584.620","586.750","584.620","","0.58%"
"1999-02-22","597.820","596.930","597.820","596.930","","1.89%"
"1999-02-23","594.220","592.110","594.220","592.110","","-0.60%"
"1999-02-24","597.955","592.850","597.955","592.850","","0.63%"
"1999-02-25","594.725","591.590","594.725","591.590","","-0.54%"
"1999-02-26","595.660","592.850","595.660","592.850","","0.16%"
"1999-03-01","596.690","593.880","596.690","593.880","","0.17%"
"1999-03-02","603.595","601.460","603.595","601.460","","1.16%"
"1999-03-03","600.885","595.750","600.885","595.750","","-0.45%"
"1999-03-04","603.540","598.460","603.540","598.460","","0.44%"
"1999-03-05","606.385","604.300","606.385","604.300","","0.47%"
"1999-03-09","602.600","597.350","602.600","597.350","","-0.62%"
"1999-03-10","599.460","594.380","599.460","594.380","","-0.52%"
"1999-03-11","602.045","596.910","602.045","596.910","","0.43%"
"1999-03-12","600.500","595.360","600.500","595.360","","-0.26%"
"1999-03-15","600.500","600.420","600.500","600.420","","0.00%"
"1999-03-16","598.010","597.740","598.010","597.740","","-0.41%"
"1999-03-17","597.655","597.520","597.655","597.520","","-0.06%"
"1999-03-18","596.515","596.380","596.515","596.380","","-0.19%"
"1999-03-19","601.325","601.190","601.325","601.190","","0.81%"
"1999-03-22","603.205","603.120","603.205","603.120","","0.31%"
"1999-03-23","601.545","601.460","601.545","601.460","","-0.28%"
"1999-03-24","600.910","600.800","600.910","600.800","","-0.11%"
"1999-03-25","603.375","603.290","603.375","603.290","","0.41%"
"1999-03-26","610.505","610.360","610.505","610.360","","1.18%"
"1999-03-30","611.985","611.840","611.985","611.840","","0.24%"
"1999-03-31","611.415","611.330","611.415","611.330","","-0.09%"
"1999-04-01","607.905","607.820","607.905","607.820","","-0.57%"
"1999-04-02","608.015","607.930","608.015","607.930","","0.02%"
"1999-04-05","608.015","607.930","608.015","607.930","","0.00%"
"1999-04-06","611.075","610.990","611.075","610.990","","0.50%"
"1999-04-07","606.830","606.690","606.830","606.690","","-0.69%"
"1999-04-08","606.950","606.810","606.950","606.810","","0.02%"
"1999-04-09","608.860","608.660","608.860","608.660","","0.31%"
"1999-04-12","604.795","604.740","604.795","604.740","","-0.67%"
"1999-04-13","607.480","607.370","607.480","607.370","","0.44%"
"1999-04-14","607.510","607.310","607.510","607.310","","0.00%"
"1999-04-15","609.685","609.630","609.685","609.630","","0.36%"
"1999-04-16","612.700","612.640","612.700","612.640","","0.49%"
"1999-04-19","617.660","617.600","617.660","617.600","","0.81%"
"1999-04-20","618.185","618.130","618.185","618.130","","0.09%"
"1999-04-21","618.040","617.890","618.040","617.890","","-0.02%"
"1999-04-22","619.120","619.060","619.120","619.060","","0.17%"
"1999-04-23","617.490","617.430","617.490","617.430","","-0.26%"
"1999-04-27","615.055","615.000","615.055","615.000","","-0.39%"
"1999-04-28","617.545","617.370","617.545","617.370","","0.40%"
"1999-04-29","619.350","619.290","619.350","619.290","","0.29%"
"1999-04-30","619.880","619.820","619.880","619.820","","0.09%"
"1999-05-03","620.790","620.640","620.790","620.640","","0.15%"
"1999-05-04","618.390","618.240","618.390","618.240","","-0.39%"
"1999-05-05","611.300","611.160","611.300","611.160","","-1.15%"
"1999-05-06","608.325","608.270","608.325","608.270","","-0.49%"
"1999-05-07","607.090","606.810","607.090","606.810","","-0.20%"
"1999-05-10","607.505","607.420","607.505","607.420","","0.07%"
"1999-05-11","610.275","610.020","610.275","610.020","","0.46%"
"1999-05-12","613.930","613.670","613.930","613.670","","0.60%"
"1999-05-13","613.930","613.670","613.930","613.670","","0.00%"
"1999-05-14","613.215","613.100","613.215","613.100","","-0.12%"
"1999-05-17","614.075","613.960","614.075","613.960","","0.14%"
"1999-05-19","616.150","614.860","616.150","614.860","","0.34%"
"1999-05-20","616.765","616.620","616.765","616.620","","0.10%"
"1999-05-21","621.170","621.110","621.170","621.110","","0.71%"
"1999-05-25","618.185","617.010","618.185","617.010","","-0.48%"
"1999-05-26","625.495","625.200","625.495","625.200","","1.18%"
"1999-05-27","627.290","626.990","627.290","626.990","","0.29%"
"1999-05-28","626.060","625.910","626.060","625.910","","-0.20%"
"1999-05-31","627.380","627.230","627.380","627.230","","0.21%"
"1999-06-01","627.500","627.290","627.500","627.290","","0.02%"
"1999-06-02","633.100","633.040","633.100","633.040","","0.89%"
"1999-06-03","631.515","630.830","631.515","630.830","","-0.25%"
"1999-06-04","635.955","635.800","635.955","635.800","","0.70%"
"1999-06-07","637.965","637.900","637.965","637.900","","0.32%"
"1999-06-08","631.910","631.820","631.910","631.820","","-0.95%"
"1999-06-09","627.620","627.410","627.620","627.410","","-0.68%"
"1999-06-10","623.920","623.770","623.920","623.770","","-0.59%"
"1999-06-11","625.735","625.560","625.735","625.560","","0.29%"
"1999-06-15","631.275","631.150","631.275","631.150","","0.89%"
"1999-06-16","634.080","633.960","634.080","633.960","","0.44%"
"1999-06-17","635.250","635.190","635.250","635.190","","0.18%"
"1999-06-18","635.775","635.120","635.775","635.120","","0.08%"
"1999-06-21","634.450","634.390","634.450","634.390","","-0.21%"
"1999-06-22","636.790","636.600","636.790","636.600","","0.37%"
"1999-06-23","638.525","637.900","638.525","637.900","","0.27%"
"1999-06-24","633.440","632.790","633.440","632.790","","-0.80%"
"1999-06-25","627.020","626.930","627.020","626.930","","-1.01%"
"1999-06-28","631.365","630.770","631.365","630.770","","0.69%"
"1999-06-29","634.540","634.390","634.540","634.390","","0.50%"
"1999-06-30","635.245","635.120","635.245","635.120","","0.11%"
"1999-07-01","638.615","638.460","638.615","638.460","","0.53%"
"1999-07-02","641.900","641.770","641.900","641.770","","0.51%"
"1999-07-05","640.895","640.580","640.895","640.580","","-0.16%"
"1999-07-06","641.115","640.900","641.115","640.900","","0.03%"
"1999-07-07","642.310","642.150","642.310","642.150","","0.19%"
"1999-07-08","644.865","644.800","644.865","644.800","","0.40%"
"1999-07-09","643.820","643.660","643.820","643.660","","-0.16%"
"1999-07-12","647.860","647.730","647.860","647.730","","0.63%"
"1999-07-13","645.280","645.120","645.280","645.120","","-0.40%"
"1999-07-14","642.280","642.030","642.280","642.030","","-0.46%"
"1999-07-15","641.900","641.840","641.900","641.840","","-0.06%"
"1999-07-16","642.715","642.590","642.715","642.590","","0.13%"
"1999-07-19","646.390","646.260","646.390","646.260","","0.57%"
"1999-07-20","630.150","630.000","630.150","630.000","","-2.51%"
"1999-07-21","623.710","623.650","623.710","623.650","","-1.02%"
"1999-07-22","625.350","625.200","625.350","625.200","","0.26%"
"1999-07-23","624.245","624.190","624.245","624.190","","-0.18%"
"1999-07-26","614.135","614.020","614.135","614.020","","-1.62%"
"1999-07-27","617.430","617.310","617.430","617.310","","0.54%"
"1999-07-28","615.690","615.520","615.690","615.520","","-0.28%"
"1999-07-29","613.155","613.040","613.155","613.040","","-0.41%"
"1999-07-30","613.100","613.040","613.100","613.040","","-0.01%"
"1999-08-02","612.840","612.640","612.840","612.640","","-0.04%"
"1999-08-03","615.980","615.920","615.980","615.920","","0.51%"
"1999-08-04","609.880","609.680","609.880","609.680","","-0.99%"
"1999-08-05","607.340","607.200","607.340","607.200","","-0.42%"
"1999-08-06","611.105","611.050","611.105","611.050","","0.62%"
"1999-08-09","612.730","612.590","612.730","612.590","","0.27%"
"1999-08-10","611.845","611.730","611.845","611.730","","-0.14%"
"1999-08-11","613.790","613.620","613.790","613.620","","0.32%"
"1999-08-12","616.270","616.210","616.270","616.210","","0.40%"
"1999-08-13","614.915","614.770","614.915","614.770","","-0.22%"
